id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
30,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",53596,"194.210.238.204","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264918509,1696264918587,78,35,66323,1696264918509,1696264918587,78,18,3530,1696264918520,1696264918587,67,17,62793,"TLS.YouTube","Media",0,6,"rr1---sn-4jjo-apnl.googlevideo.com","eb8c788b0c73814a96ea7ba8bd4d31d6","eb1d94daa7e0344597e756a1fb6e7054","",""
31,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",43374,"239.255.255.250","01:00:5e:7f:ff:fa","01:00:5e",1900,17,4,0,0,1696264923881,1696264926883,3002,4,852,1696264923881,1696264926883,3002,4,852,0,0,0,0,0,"SSDP","System",0,6,"239.255.255.250:1900","","","",""
32,0,"52.88.35.72","00:22:bd:f8:19:ff","00:22:bd",443,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",39886,6,4,0,0,1696264904263,1696264976967,72704,160,63601,1696264904263,1696264976966,72703,73,30900,1696264904263,1696264976967,72704,87,32701,"TLS","Web",0,6,"","","","",""
33,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",42608,"54.161.152.147","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264910793,1696264972795,62002,15,1535,1696264910793,1696264972654,61861,8,976,1696264910968,1696264972795,61827,7,559,"TLS","Web",0,6,"","","","",""
34,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",59598,"172.217.17.10","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264913793,1696264914581,788,113,69002,1696264913793,1696264914563,770,46,8868,1696264913811,1696264914581,770,67,60134,"QUIC.GoogleServices","Web",0,6,"jnn-pa.googleapis.com","afa4297c9dddc0a57ab987f5388ef0be","","",""
35,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",56753,"194.210.238.204","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264919876,1696264923877,4001,5,6460,1696264919876,1696264923877,4001,5,6460,0,0,0,0,0,"QUIC.YouTube","Media",0,6,"rr1---sn-4jjo-apnl.googlevideo.com","a538f547b1abb71a98a160407bc70b02","","",""
36,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",53614,"194.210.238.204","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264919876,1696264920200,324,20,12058,1696264919876,1696264920200,324,13,3995,1696264919885,1696264920200,315,7,8063,"TLS.YouTube","Media",0,6,"rr1---sn-4jjo-apnl.googlevideo.com","9e1e65206b31276082b9b880f2f908ce","eb1d94daa7e0344597e756a1fb6e7054","",""
37,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",53628,"194.210.238.204","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264920427,1696264920957,530,116,347505,1696264920427,1696264920957,530,60,10814,1696264920438,1696264920957,519,56,336691,"TLS.YouTube","Media",0,6,"rr1---sn-4jjo-apnl.googlevideo.com","cc42193306f9932fd67b1a878d4afc5e","eb1d94daa7e0344597e756a1fb6e7054","",""
38,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",33104,"176.9.67.69","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264952866,1696264983172,30306,24,8904,1696264952866,1696264983114,30248,13,2127,1696264952927,1696264983172,30245,11,6777,"TLS","Web",0,6,"www.abola.pt","42cb4e0a5255e044474a0e3af696c027","1c9537b8108487575f2043b84071412d","",""
39,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",34892,"104.21.234.32","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264958731,1696264962732,4001,5,6460,1696264958731,1696264962732,4001,5,6460,0,0,0,0,0,"QUIC","Web",0,6,"sportal365images.com","64a046977297661fc74cd56aa353954e","","",""
40,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",54528,"18.154.41.46","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264909166,1696264923821,14655,8,579,1696264909166,1696264923806,14640,4,276,1696264909182,1696264923821,14639,4,303,"TLS","Web",0,6,"","","","",""
41,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",43737,"142.250.200.99","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264913768,1696264921287,7519,72,50377,1696264913768,1696264921280,7512,29,5131,1696264913788,1696264921287,7499,43,45246,"QUIC.Google","Web",0,6,"www.gstatic.com","76a5ad461cdd8053d0c50b3980b41a80","","",""
42,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",57464,"194.210.238.205","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264914303,1696264964469,50166,110,455422,1696264914303,1696264964462,50159,57,13663,1696264914329,1696264964469,50140,53,441759,"TLS.YouTube","Media",0,6,"rr2---sn-4jjo-apnl.googlevideo.com","558e728b39a641bde32583abd676bfe3","eb1d94daa7e0344597e756a1fb6e7054","",""
43,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",53580,"194.210.238.204","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264918509,1696264918571,62,30,63541,1696264918509,1696264918571,62,16,3522,1696264918517,1696264918571,54,14,60019,"TLS.YouTube","Media",0,6,"rr1---sn-4jjo-apnl.googlevideo.com","4f36518d2248c42f2b4a52de0be0bbd5","eb1d94daa7e0344597e756a1fb6e7054","",""
44,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",56772,"74.125.4.134","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264919960,1696264946438,26478,7081,8188399,1696264919960,1696264946432,26472,751,70410,1696264919972,1696264946438,26466,6330,8117989,"QUIC.YouTube","Media",0,6,"rr1---sn-apn7en7l.googlevideo.com","1fb93d6db1e407330d111b1a210bce7e","","",""
45,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",44084,"172.64.155.119","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264952703,1696264952756,53,20,3618,1696264952703,1696264952756,53,11,1911,1696264952711,1696264952756,45,9,1707,"TLS","Web",0,6,"geolocation.onetrust.com","da5d0d67ce7a4fe93939dd9c9c5f6f2b","2b0648ab686ee45e0e7c35fcfb0eea7e","",""
46,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",38180,"104.21.234.32","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264952811,1696264958938,6127,170,971197,1696264952811,1696264958938,6127,82,7688,1696264952858,1696264958894,6036,88,963509,"TLS","Web",0,6,"sportal365images.com","1728853fce579cfdaf5192863f00c8a4","eb1d94daa7e0344597e756a1fb6e7054","",""
47,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",35041,"157.240.212.35","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264973296,1696264977296,4000,5,6460,1696264973296,1696264977296,4000,5,6460,0,0,0,0,0,"QUIC.Facebook","SocialNetwork",0,6,"www.facebook.com","bb59e08c9bdcff9341f306b786b96017","","",""
48,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",56338,"18.154.41.28","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264973665,1696264981979,8314,66,66823,1696264973665,1696264981979,8314,32,5231,1696264973684,1696264981979,8295,34,61592,"TLS","Web",0,6,"accounts-cdn.9gag.com","40332e48612880bfad1ca4d5603f05ff","fcb2d4d0991292272fcb1e464eedfd43","",""
